# 
#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
           0       2.741857e-01       7.384965e-03       1.121263e-01       3.570984e+00       3.656898e-03       4.352123e-01
           1       2.197000e-01       4.229088e-03       1.063429e-01       3.572521e+00       5.904905e-03       4.726222e-01
           2       3.252534e-01       4.390584e-04       1.328547e-01       3.972340e+00       4.292697e-03       4.958216e-01
           3       2.153455e-01       8.217692e-04       1.204251e-01       5.062070e+00       3.588824e-03       4.846237e-01
           4       2.488102e-01       8.611646e-03       1.194496e-01       6.938803e+00       3.606042e-03       5.381164e-01
           5       2.379615e-01       1.264021e-02       1.296969e-01       5.966650e+00       3.910362e-03       5.135893e-01
           6       2.772355e-01       1.190559e-04       1.406011e-01       5.592255e+00       4.190873e-03       4.944827e-01
           7       2.243923e-01       1.363685e-02       1.009938e-01       6.241828e+00       6.471077e-03       4.752860e-01
           8       2.051062e-01       1.265816e-02       1.040393e-01       6.118051e+00       7.573715e-03       5.179323e-01
           9       2.558923e-01       8.955718e-03       1.282941e-01       2.658183e+00       5.339306e-03       3.605926e-01
          10       2.379687e-01       3.414019e-03       1.315398e-01       2.251797e+00       3.054682e-03       3.231185e-01
          11       2.498095e-01       1.542203e-03       1.414529e-01       1.107752e+00       4.342839e-03       2.751086e-01
          12       2.857622e-01       1.120204e-02       1.568038e-01       2.079595e+00       3.280128e-03       3.315954e-01
          13       3.004295e-01       4.720789e-03       1.646331e-01       1.911098e+00       1.967209e-03       2.989827e-01
          14       2.687942e-01       8.666003e-03       1.504242e-01       1.714592e+00       1.839738e-03       2.842680e-01
          15       2.965636e-01       9.574383e-03       1.521203e-01       1.666288e+00       2.400922e-03       3.066912e-01
          16       3.182096e-01       3.857696e-03       1.641996e-01       1.959006e+00       1.759432e-03       3.124258e-01
          17       2.780565e-01       7.977497e-03       1.560935e-01       1.582780e+00       1.625725e-03       2.824359e-01
          18       3.102366e-01       9.246897e-03       1.682682e-01       1.943348e+00       1.657738e-03       3.059199e-01
          19       2.718102e-01       3.237787e-06       1.513308e-01       8.744599e-01       2.558975e-03       2.426208e-01
          20       2.764116e-01       1.393366e-03       1.532817e-01       2.457253e+00       1.278345e-03       3.211642e-01
          21       2.790030e-01       7.726069e-03       1.558335e-01       2.423336e+00       2.077417e-03       3.364620e-01
          22       2.845849e-01       4.926387e-03       1.599932e-01       2.213706e+00       1.575686e-03       3.138024e-01
          23       2.662905e-01       1.282115e-03       1.458000e-01       2.138035e+00       2.661018e-03       3.161811e-01
          24       2.495216e-01       2.185530e-03       1.357139e-01       2.374174e+00       3.676421e-03       3.380484e-01
          25       2.623344e-01       1.916703e-03       1.431374e-01       2.210062e+00       3.309284e-03       3.311645e-01
          26       2.570447e-01       2.113983e-03       1.358738e-01       2.320605e+00       5.072016e-03       3.190939e-01
          27       2.441249e-01       1.236933e-02       1.276617e-01       2.788372e+00       4.881630e-03       3.424934e-01
          28       2.405552e-01       1.453044e-02       1.276453e-01       2.693204e+00       6.291298e-03       3.417639e-01
          29       2.256820e-01       1.727937e-02       1.161443e-01       2.793560e+00       6.159371e-03       3.648838e-01
          30       2.278375e-01       2.062028e-02       1.167108e-01       2.942119e+00       5.560112e-03       3.799547e-01
          31       2.487277e-01       1.651757e-02       1.249240e-01       2.893767e+00       5.746455e-03       3.653454e-01
          32       2.241903e-01       9.916050e-03       1.116196e-01       4.036818e+00       5.929331e-03       4.084073e-01
          33       2.280495e-01       7.153098e-03       1.214931e-01       2.538174e+00       4.518665e-03       3.288804e-01
          34       1.980228e-01       1.031721e-03       1.075608e-01       4.644969e+00       4.503825e-03       4.062626e-01
          35       1.814686e-01       3.235565e-04       1.033233e-01       5.266274e+00       5.477974e-03       4.274675e-01
          36       1.633670e-01       1.705937e-02       9.390787e-02       6.721567e+00       5.626890e-03       4.807807e-01
          37       1.533942e-01       2.543574e-02       9.122424e-02       7.052956e+00       5.579773e-03       4.954649e-01
          38       1.565825e-01       2.719048e-02       9.625853e-02       6.792898e+00       1.318144e-02       4.992567e-01
          39       1.808968e-01       2.399270e-02       1.053260e-01       5.812884e+00       7.256038e-03       4.276144e-01
          40       1.945473e-01       1.980182e-02       1.042225e-01       7.556438e+00       9.660171e-03       4.854691e-01
          41       2.120675e-01       2.144394e-02       1.137262e-01       8.079575e+00       9.071067e-03       5.303259e-01
          42       2.093188e-01       2.587023e-02       1.189540e-01       7.044721e+00       9.817600e-03       4.976330e-01
          43       2.107299e-01       1.938293e-02       1.189182e-01       6.706063e+00       8.537205e-03       4.687269e-01
          44       2.085896e-01       2.216876e-02       1.178242e-01       6.991320e+00       8.736859e-03       4.820757e-01
          45       1.995445e-01       2.338903e-02       1.129554e-01       7.293533e+00       9.286108e-03       4.896858e-01
          46       2.221051e-01       1.175063e-02       1.249209e-01       6.293713e+00       7.555918e-03       4.564941e-01
          47       2.047301e-01       2.638026e-02       1.129783e-01       6.892061e+00       7.361139e-03       4.638463e-01
          48       2.043589e-01       4.529139e-04       1.086843e-01       5.236243e+00       5.292408e-03       4.027341e-01
          49       2.090687e-01       4.872146e-03       1.109235e-01       4.974800e+00       4.379261e-03       3.936330e-01
          50       2.257339e-01       2.272765e-03       1.134913e-01       4.809071e+00       5.959239e-03       3.854186e-01
          51       2.998904e-01       3.870080e-03       1.614853e-01       2.770523e+00       4.498309e-03       3.563088e-01
          52       2.429232e-01       1.272181e-02       1.247810e-01       3.993394e+00       5.224485e-03       3.815631e-01
